name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2B+Office Perfect 4 Young Family!!,2233907,Kyle,Brooklyn,Prospect Heights,40.67963,-73.97237,Entire home/apt,260,14,5,10/18/2014,0.07,1,0
College Students see New York !,2979607,Miriam,Queens,Cambria Heights,40.69249,-73.73382,Private room,55,3,0,,,2,365
Cosy Large Bedroom Park Slope,2316922,Nat,Brooklyn,Park Slope,40.6686,-73.98342,Private room,65,3,31,8/10/2018,0.5,1,22
Bright UES Gem Near Central Park,177724,Lauren,Manhattan,Upper East Side,40.76985,-73.95815,Entire home/apt,200,2,17,12/7/2015,0.21,1,0
Garden Oasis in the â™¥ï¸ of NYC | Steps to Times Sq!,3002643,Heather,Manhattan,Hell's Kitchen,40.76257,-73.99303,Entire home/apt,249,3,35,5/27/2019,0.42,1,38
Brownstone Home - BEST BKLYN BLOCK!,3011547,Wendy,Brooklyn,Gowanus,40.68466,-73.98871,Entire home/apt,300,30,63,4/18/2019,0.77,3,365
"Convenient, Central, Comfortable",2874433,Eric,Manhattan,East Harlem,40.79183,-73.94743,Entire home/apt,120,7,149,6/29/2019,1.78,1,16
Charming triplex in NYC brownstone!,893148,Silvia,Manhattan,Upper West Side,40.77471,-73.98261,Private room,120,20,107,6/5/2018,1.29,1,144
"Cozy 1BR apart. in Prospect Hts, BK",3019795,Marta,Brooklyn,Prospect Heights,40.67293,-73.96399,Entire home/apt,125,5,7,12/31/2015,0.08,1,0
Queens Quality Convenient Apartment,3647,Rafael,Queens,Elmhurst,40.73587,-73.88279,Entire home/apt,99,3,48,6/23/2019,0.58,2,301
Gorgeous 1 Bdrm Haven/Shared Ktchn,3024659,Jonathan,Brooklyn,Bushwick,40.69945,-73.92148,Entire home/apt,115,3,54,6/19/2019,0.65,1,3
Hip Brooklyn Photo Studio Loft!,1144721,Andrew And Kat,Brooklyn,Bushwick,40.7072,-73.92245,Entire home/apt,275,31,17,10/18/2015,0.2,1,364
Chateau Gowanus,2992042,"Christopher, Samantha And Mason",Brooklyn,Gowanus,40.67376,-73.99648,Entire home/apt,198,2,103,6/8/2019,1.62,1,299
HUGE East Village 2 Bd w/Priv Yard,3029414,Deborah,Manhattan,East Village,40.7256,-73.97857,Entire home/apt,199,3,243,6/24/2019,2.95,1,142
Cozy Comfortable Friendly & Cheap!,2979607,Miriam,Queens,Cambria Heights,40.6916,-73.73323,Private room,45,3,0,,,2,365
1 FLOOR OF A BROWNSTONE WITH GARDEN,3039868,Lori & John,Manhattan,Upper West Side,40.79196,-73.97065,Private room,125,3,93,6/18/2019,1.17,1,58
Full-Service Studio Apt in Brownstone/Townhouse,2518984,Historic Harlem,Manhattan,Harlem,40.81726,-73.94583,Entire home/apt,80,2,54,7/1/2019,0.74,2,193
"2 BED TriBeCa, Beautiful-Renovated!",1475015,Mike,Manhattan,Tribeca,40.71655,-74.01171,Entire home/apt,130,30,2,10/31/2015,0.03,52,116
Small Private Room # 1 with Window,2712353,Masud,Brooklyn,Cypress Hills,40.68375,-73.87065,Private room,35,28,88,5/22/2019,1.05,4,326
Full Apt! L Train On The Corner!!,3047107,Bradley,Brooklyn,Williamsburg,40.70958,-73.93578,Entire home/apt,90,30,15,7/29/2017,0.18,1,0
Great house in Williamsburg ,10889,Bob,Brooklyn,Williamsburg,40.72091,-73.96133,Entire home/apt,250,3,25,11/21/2017,0.3,2,188
1 BR Apartment near Prospect Park!,3065891,Sarah,Brooklyn,Crown Heights,40.66959,-73.95718,Entire home/apt,115,3,0,,,1,0
Brooklyn Carriage House,92451,Cath,Brooklyn,Prospect Heights,40.68066,-73.96644,Entire home/apt,200,4,11,4/28/2019,0.13,1,0
Big Sunny Williamsburg 14ft Ceilings w Half Bath,2272846,Zack,Brooklyn,Williamsburg,40.71447,-73.95237,Private room,64,30,17,5/30/2019,0.26,2,230
Historic Brownstone Parlor & Garden,3069794,Hayley,Brooklyn,Bedford-Stuyvesant,40.68372,-73.9406,Private room,65,3,5,8/31/2014,0.06,2,341
NYC/Queens 1 Bedroom Apartment,3073291,David,Queens,Astoria,40.76408,-73.92461,Entire home/apt,175,14,0,,,1,0
Cozy bedroom in Hells Kitchen,2957827,Mauricio,Manhattan,Hell's Kitchen,40.76876,-73.99473,Private room,90,2,28,9/13/2018,0.34,1,358
"Great room in 2BR, Bright + Cozy!",1563352,Evelina,Brooklyn,Crown Heights,40.66839,-73.96001,Private room,85,2,0,,,1,0
ENTIRE LUXURY MADISON AVE STUDIO,3091205,Angela,Manhattan,Midtown,40.74519,-73.98338,Entire home/apt,150,30,0,,,1,352
Great deal! Manhattan 1-bedroom 1 month sublet,3050955,Laura And Bernard,Manhattan,Kips Bay,40.74285,-73.97986,Entire home/apt,50,30,8,8/21/2018,0.11,1,91
"Spacious apt in South Harlem, steps to subways !",3097033,Aida,Manhattan,Harlem,40.80352,-73.95127,Entire home/apt,136,2,15,4/27/2019,0.18,2,6
"Williamsburg, Brooklyn Townhouse",1974637,Gina,Brooklyn,Williamsburg,40.71455,-73.93739,Entire home/apt,400,3,2,10/22/2018,0.17,1,83
"In the heart of Prospect Park, BK!",3102648,Zhenia,Brooklyn,Prospect-Lefferts Gardens,40.65826,-73.95951,Entire home/apt,125,4,40,1/1/2019,0.57,1,29
"In the Hub of Union Square, NYC",3114411,Carlita,Manhattan,East Village,40.7324,-73.98577,Entire home/apt,165,7,57,5/6/2019,0.68,1,32
COMFY-CUTE-N-CLEAN APT in WBURG,585879,Armando,Brooklyn,Williamsburg,40.71402,-73.93989,Entire home/apt,180,3,0,,,1,0
NYC Whole Apt.  Dec 26th- Feb 3rd,3119145,Dennis,Manhattan,Harlem,40.80338,-73.95594,Entire home/apt,105,14,6,8/16/2018,0.07,1,0
Ti me Square Stylish 1 Bedroom,3120156,Sag,Manhattan,Hell's Kitchen,40.7592,-73.99133,Entire home/apt,148,4,57,5/24/2019,0.69,1,0
1BD brownstone apt in Fort Greene!,2397437,Lauren,Brooklyn,Fort Greene,40.68935,-73.9695,Entire home/apt,120,3,22,10/28/2015,0.27,1,189
Slick Studio with High Ceilings,3129020,Ian,Manhattan,Gramercy,40.73326,-73.98245,Entire home/apt,99,8,6,9/4/2013,0.07,1,0
East Village perch!,834185,Zachary,Manhattan,East Village,40.73082,-73.98502,Entire home/apt,175,1,17,10/13/2015,0.2,1,0
Big Room in Williamsburg Loft,155163,Niral,Brooklyn,Williamsburg,40.71382,-73.94164,Private room,85,2,14,10/28/2018,0.19,1,0
1 BR - Garden - Broadway?,3130534,Ken,Manhattan,Upper East Side,40.77975,-73.94977,Private room,80,1,160,6/27/2019,1.9,1,319
Sal's bnb,3129017,Lascell,Brooklyn,Bedford-Stuyvesant,40.68517,-73.95563,Entire home/apt,119,2,85,6/23/2019,1.02,1,338
"Jacuzzi Suite, Minutes to Times Sq.",1568517,Karl & Catherine,Queens,Long Island City,40.74609,-73.94691,Private room,89,1,165,6/22/2019,1.99,2,50
1-Bd Apt in PRIME Soho - NYC- July,2354167,Paul,Manhattan,SoHo,40.72625,-74.0018,Shared room,195,2,13,4/22/2014,0.16,1,0
Luxury 1Bed with Central Park Views,836168,Henry,Manhattan,Upper West Side,40.77428,-73.98594,Entire home/apt,1000,30,44,9/28/2015,0.53,11,364
NYC - Heart of Greenwich Village,3158530,Peter,Manhattan,Greenwich Village,40.72812,-74.00191,Entire home/apt,225,4,51,5/2/2019,0.62,1,172
"Huge factory loft, prime location",1215949,Misty,Brooklyn,Williamsburg,40.71657,-73.96264,Entire home/apt,165,2,179,6/17/2019,2.2,1,0
bedroom in front of prospect park  w/2 queens beds,3033622,Jose,Brooklyn,Windsor Terrace,40.65193,-73.97301,Private room,60,2,206,6/15/2019,2.49,2,86
Charming Sunny W. Village Apt.,8425,Sharon,Manhattan,West Village,40.73485,-74.00637,Entire home/apt,165,5,4,7/8/2018,0.05,1,87
"Beautiful, bright room w/priv bath",1363434,Daniel,Brooklyn,Bushwick,40.70074,-73.92333,Private room,80,14,2,6/23/2019,0.11,1,67
Private bedroom in a 2-fam house for solo traveler,3179968,Tony,Queens,Sunnyside,40.73607,-73.92439,Private room,52,3,1,6/4/2018,0.08,1,0
"NOLITA, Home Sweet Home in NYC",3181665,Cortney,Manhattan,Nolita,40.72095,-73.99401,Entire home/apt,160,4,2,4/3/2013,0.02,1,0
"1-BDRM, Good Light, Fire-Escape, AC",1182294,Jonny,Brooklyn,Crown Heights,40.67639,-73.96003,Entire home/apt,110,5,3,1/11/2016,0.04,1,15
Apt Near Central Park & Columbia!,1583594,Jeffrey,Manhattan,Upper West Side,40.79913,-73.96057,Private room,60,2,19,9/23/2015,0.23,1,0
"Beautiful 4BR/4BA Home, Staten Island, NY City.",1483081,Marina,Staten Island,Tottenville,40.50868,-74.23986,Entire home/apt,299,3,59,7/8/2019,0.82,1,245
East Village 1 Bedroom Apartment,3194190,Jack,Manhattan,East Village,40.72389,-73.98934,Entire home/apt,200,6,1,1/5/2019,0.16,1,128
Sweet Super Bowl Accomodations,3198479,Gina,Manhattan,West Village,40.73727,-74.00213,Entire home/apt,700,5,1,9/18/2012,0.01,1,365
Homey Townhouse + PRIVATE Bathroom,3199395,Chris & Don,Brooklyn,Cobble Hill,40.68648,-73.99257,Private room,120,3,254,6/23/2019,3.05,1,271
Cozy E. Harlem Brownstone PH,3201337,Diego,Manhattan,East Harlem,40.79512,-73.93182,Private room,65,2,129,4/6/2019,1.56,2,32
INSANE NYC views! Live in the sky!,3206521,Dee,Manhattan,Hell's Kitchen,40.76206,-73.9998,Entire home/apt,263,30,11,3/8/2013,0.13,2,33
Up Among the Trees 2,579412,Mateo And Anna,Brooklyn,Bedford-Stuyvesant,40.69382,-73.95002,Entire home/apt,120,20,32,4/21/2019,0.68,1,149
Central Park Luxury ( BEST DEAL ;),81335,Evan,Manhattan,Upper West Side,40.78455,-73.97352,Entire home/apt,150,5,8,8/21/2016,0.12,3,0
Luxe Queen Size Bed*Cozy Elegance*Inwood Manhattan,400262,Grace,Manhattan,Inwood,40.87114,-73.91791,Private room,60,2,261,7/3/2019,3.16,1,156
Loft Room in Heart of Williamsburg,3225114,Ryan,Brooklyn,Williamsburg,40.71827,-73.96259,Private room,350,2,3,9/23/2012,0.04,1,365
Enjoy and discover New York Citi,15523,Vadim,Staten Island,Tompkinsville,40.63358,-74.0833,Private room,71,2,23,10/7/2018,0.33,2,352
3 Bedroom 2.5  Bath Multilevel Home,195137,James,Manhattan,Harlem,40.82312,-73.94971,Entire home/apt,433,5,108,6/3/2019,1.44,2,318
Luxury Doorman Building! w/Pvt Bath,1223359,Steven,Manhattan,Harlem,40.8224,-73.94358,Private room,79,3,9,6/30/2019,0.11,1,329
"Hell's Kitchen, Midtown west!",2494666,Brian,Manhattan,Hell's Kitchen,40.76376,-73.99161,Private room,140,2,248,6/24/2019,2.99,1,0
â˜†â˜†New Discountâ˜†â˜† Beautiful Room / Next to Subway,3233986,Daniel,Queens,Astoria,40.75703,-73.91666,Private room,61,4,107,6/22/2019,1.29,2,335
Gorgeous Modern Manhattan Apt,1740784,Gal,Manhattan,Midtown,40.74648,-73.98459,Private room,100,3,41,9/25/2015,0.52,1,0
Amazing NY apartment in SoHo/Nolita,3235547,Mathilde,Manhattan,Nolita,40.72294,-73.99388,Entire home/apt,250,4,43,6/2/2019,0.52,1,347
Private rooms on a XLarge 3 br 2 baths,352230,Andrea,Manhattan,Harlem,40.82732,-73.95112,Private room,145,3,39,12/8/2016,0.47,1,44
Lofted Bed in a Funky Family Loft!!,147388,Mary,Brooklyn,Bedford-Stuyvesant,40.6951,-73.95605,Shared room,45,4,31,6/1/2017,0.37,1,0
Room in Williamsburg Loft - Long Stays,415660,Carmen,Brooklyn,Williamsburg,40.71256,-73.96626,Private room,73,6,6,5/13/2019,0.07,2,310
Charming 1 bedroom Apt in Brooklyn,3245898,Ede,Brooklyn,Prospect Heights,40.6795,-73.9685,Entire home/apt,150,3,18,4/6/2019,0.26,1,68
Charming 1br in of NYC's best Neighborhood!,3245431,Jon,Manhattan,NoHo,40.7256,-73.99445,Entire home/apt,234,20,29,4/30/2019,0.37,1,302
East Village Hideaway,3247050,Moira,Manhattan,East Village,40.73045,-73.98541,Entire home/apt,150,1,11,12/25/2013,0.13,1,0
"Cute, comfortable room in Gramercy",672510,Jernee,Manhattan,Gramercy,40.737,-73.98199,Private room,65,4,161,7/1/2019,1.92,1,182
Spacious Brooklyn Loft w/ River View,62583,Karina,Brooklyn,Williamsburg,40.71227,-73.96776,Entire home/apt,195,1,39,4/28/2019,0.47,1,270
Manhattan Sky Crib (1 year sublet),3260084,David,Manhattan,Chelsea,40.75164,-73.99425,Entire home/apt,135,365,0,,,1,365
Studio With Old-World Character,3262771,Christina,Brooklyn,Crown Heights,40.67189,-73.93499,Entire home/apt,90,7,2,8/25/2015,0.03,1,0
"Spacious, rare, elegant, art-filled loft w sauna",3272526,Lisa,Manhattan,SoHo,40.72381,-73.99684,Entire home/apt,595,5,59,6/27/2019,0.77,1,169
"Comfortable, clean & quiet in EV",468752,Casper,Manhattan,Gramercy,40.73337,-73.984,Private room,109,1,323,6/20/2019,3.89,1,276
One Bedroom Apartment in an 1879 Brownstone,3274376,Edward,Brooklyn,Clinton Hill,40.68304,-73.96348,Entire home/apt,200,3,56,5/21/2019,0.96,1,365
ELEGANT MIDTOWN EAST STUDIO E.52 ST,1475015,Mike,Manhattan,Midtown,40.75743,-73.96939,Entire home/apt,90,30,3,12/31/2016,0.05,52,358
32nd St & Lexington Ave / Doorman Beautiful Studio,1475015,Mike,Manhattan,Kips Bay,40.7419,-73.9816,Entire home/apt,100,30,2,6/30/2018,0.04,52,342
COLUMBUS CIRCLE~FULLY FURNISHED!!!,1475015,Mike,Manhattan,Hell's Kitchen,40.76758,-73.98722,Entire home/apt,85,30,2,8/15/2016,0.04,52,223
GRAMERCY PARK~FURNISHED E.20's ST P,1475015,Mike,Manhattan,Kips Bay,40.74189,-73.97833,Entire home/apt,87,30,3,8/15/2018,0.05,52,363
COLUMBUS CIRCLE~100% FURNISHED W.58,1475015,Mike,Manhattan,Upper West Side,40.76934,-73.98464,Entire home/apt,95,30,1,11/1/2012,0.01,52,365
Charming 2 Bdrm UWS w/ private deck,1242765,Kate,Manhattan,Upper West Side,40.78363,-73.97797,Entire home/apt,349,3,58,6/18/2019,0.7,1,341
BIG East Village 1bd all the extras,3291022,Noel,Manhattan,East Village,40.72171,-73.98334,Entire home/apt,99,3,10,10/24/2015,0.14,1,0
THE HEART OF ART IN THE HEART OF NY,3293368,Kathleen,Manhattan,Hell's Kitchen,40.76803,-73.98767,Entire home/apt,160,2,83,5/23/2019,1.01,1,105
Be in NYC's best: Lower East Side!,3298062,Connie,Manhattan,Chinatown,40.71695,-73.99031,Entire home/apt,149,4,12,6/3/2019,0.14,1,203
Lovely 2-room Studio in Crown Hghts,326329,Nick,Brooklyn,Crown Heights,40.67574,-73.95434,Entire home/apt,60,3,1,8/25/2012,0.01,1,0
Chic Luxe 1BR 1.5BA 900sf -Midtown ,3301845,Alana,Manhattan,Midtown,40.75663,-73.96681,Entire home/apt,285,7,10,7/6/2019,3.53,1,0
"QUIET, SPACIOUS, COMFORTABLE, & GREAT LOCATION",3180741,Manon,Brooklyn,Kensington,40.64573,-73.98013,Private room,72,1,48,2/28/2019,0.59,1,312
Charming West Village Pad,159780,Horatio,Manhattan,West Village,40.74004,-74.00426,Entire home/apt,150,16,5,7/3/2019,0.06,1,339
"2BR gem in Cobble Hill, Brooklyn",414627,Charlotte,Brooklyn,Columbia St,40.68863,-74.00181,Entire home/apt,200,3,15,7/9/2018,0.18,1,0
Prime location near Central Park !!,3312204,Olga,Manhattan,Upper East Side,40.7779,-73.95246,Private room,79,1,347,7/4/2019,4.24,2,247
"Bright, Quiet 2 BR in Awesome Area!",3315563,Mariko,Manhattan,Upper West Side,40.78194,-73.98248,Entire home/apt,197,1,108,7/5/2019,1.31,2,269
Secret Garden,3317183,Claire,Brooklyn,Bedford-Stuyvesant,40.6883,-73.95375,Entire home/apt,75,3,163,6/19/2019,1.96,2,218
HEART OF NYC! Sunny furn 1 br wifi,3319410,Dawn,Manhattan,Gramercy,40.73354,-73.98593,Entire home/apt,127,3,182,6/23/2019,2.3,1,264
A nice quiet room in Manhattan,3320650,Jay,Manhattan,East Harlem,40.8014,-73.94361,Private room,110,1,37,6/2/2019,0.45,1,365
Cozy room on a tree lined street ,3323929,Erika,Queens,Ridgewood,40.69922,-73.90027,Private room,69,1,30,6/22/2019,0.4,1,0
1 bedroom in a super cute 2 bed,1648054,Ruth,Brooklyn,Williamsburg,40.70653,-73.94421,Private room,100,60,3,5/15/2015,0.04,1,365
GREAT Studio apartment in Midtown W,3166753,Ben,Manhattan,Hell's Kitchen,40.76287,-73.9957,Entire home/apt,99,3,46,1/4/2018,0.56,1,31
"Peaceful with Windows, Brooklyn Apt",270064,Sean - Hygge Stay,Brooklyn,Williamsburg,40.70249,-73.9488,Entire home/apt,139,2,211,7/4/2019,2.57,1,19
Great Apt Steps from Central Park,3330459,Lynne,Manhattan,Upper West Side,40.78754,-73.96989,Private room,113,1,93,5/21/2019,1.12,1,2
1 bedroom apt in heart of Chelsea,3341426,Nika,Manhattan,Chelsea,40.741,-73.99957,Entire home/apt,250,2,10,5/7/2016,0.13,1,0
Boho Chic Rhapsody in New York City,3351317,Clara,Manhattan,Kips Bay,40.74027,-73.98061,Entire home/apt,295,4,72,6/22/2019,1.02,1,122
Lux 2Bed/2.5Bath Central Park Views,836168,Henry,Manhattan,Upper West Side,40.77516,-73.98573,Entire home/apt,2000,30,59,1/28/2016,0.71,11,364
Winning Location in Hells Kitchen,1139222,Carl,Manhattan,Hell's Kitchen,40.7589,-73.99015,Entire home/apt,220,2,18,12/1/2018,0.24,1,0
Beautiful East Village apartment,2490963,Matteo,Manhattan,East Village,40.72771,-73.98172,Private room,75,5,6,7/11/2013,0.07,1,0
BEDFORD AVE STUDIO APT WITH GARDEN,1486465,Carlo,Brooklyn,Williamsburg,40.71157,-73.9636,Entire home/apt,100,31,15,10/12/2015,0.18,1,223
Amazing Williamsburg entire Loft. Floor 2B,3370705,Valentin,Brooklyn,Williamsburg,40.71112,-73.96338,Entire home/apt,199,4,78,6/7/2019,1.26,1,65
Light & airy Chelsea NY 1bdrm apt,3376141,Nic,Manhattan,Chelsea,40.74272,-74.00309,Entire home/apt,200,3,17,6/24/2018,0.21,1,5
My Brooklyn Studio in Ditmas Park,3377231,Lina,Brooklyn,Flatbush,40.64895,-73.95758,Entire home/apt,140,4,15,8/3/2017,0.18,1,365
1BR in nice 2BR Apt lovely Area ,3383354,Martina,Manhattan,Inwood,40.86186,-73.92701,Private room,50,7,1,7/16/2015,0.02,1,0
Comfy room in beautiful apartment,3363720,Kate,Brooklyn,Bushwick,40.68888,-73.91911,Private room,45,5,69,5/25/2019,0.89,3,223
Popular area in BK and Close to Manhattan,2400932,Jackie'S Place,Brooklyn,Gowanus,40.67947,-73.98458,Entire home/apt,109,31,114,6/10/2019,1.38,2,110
Central Park Sunny Bedroom,3392287,Roxanne,Manhattan,East Harlem,40.79591,-73.94801,Private room,108,3,161,6/15/2019,1.98,2,24
Bookcase Room with Hidden Door!,3363720,Kate,Brooklyn,Bushwick,40.68796,-73.91906,Private room,42,5,70,4/29/2019,0.88,3,236
Great private room in awesome area!,3403890,Cory,Brooklyn,Crown Heights,40.67138,-73.95577,Private room,70,3,0,,,1,0
REDUCED! Private Apt~Fun NYC area!,1709717,Camille,Manhattan,Upper East Side,40.77382,-73.95088,Entire home/apt,141,2,46,6/14/2019,0.57,1,346
Elegant 2 BDRM Brooklyn Brownstone,3411621,Elizabeth,Brooklyn,Fort Greene,40.68418,-73.96926,Entire home/apt,355,5,19,11/2/2018,0.24,1,301
Secret Garden Big and Comfortable,3317183,Claire,Brooklyn,Bedford-Stuyvesant,40.68773,-73.95631,Entire home/apt,80,3,162,6/24/2019,1.97,2,249
Sunrise Room in Spacious Duplex,2219255,Natalie,Brooklyn,Canarsie,40.62764,-73.90086,Private room,250,2,70,10/10/2018,0.85,3,0
A LITTLE PARADISE NEXT TO SUBWAY!,3425965,Francesca,Queens,Ridgewood,40.70719,-73.89632,Private room,75,14,11,8/31/2018,0.15,1,332
AMAZING LOCATION YOU WILL LOVE IT,3432742,Callie,Manhattan,West Village,40.73456,-74.00347,Private room,88,2,2,7/4/2019,0.05,1,348
small private bedroom female only,1465539,Ouii,Manhattan,Kips Bay,40.74166,-73.97811,Private room,65,5,39,1/18/2019,0.55,1,318
(B)  BARGAIN SPACE,27848,Jullett,Queens,Jamaica,40.67166,-73.76566,Private room,58,2,56,7/1/2019,0.67,2,365
Cozy 1 bedroom apartment in NYC,3458785,Glauce,Queens,Ditmars Steinway,40.77987,-73.91565,Entire home/apt,75,3,1,9/18/2012,0.01,1,0
Great Room in Astoria! Close to Everything!,3404680,James,Queens,Astoria,40.77329,-73.92832,Private room,100,2,35,6/21/2019,0.42,1,144
Newly Renovated 1 BR,3462232,Stephen,Manhattan,Lower East Side,40.7195,-73.99416,Private room,167,5,32,9/14/2018,0.39,1,341
"Large private bedroom in house, Bushwick/Ridgewood",2675998,Alice,Queens,Ridgewood,40.70866,-73.91537,Private room,65,2,1,1/3/2018,0.05,2,0
Trendy Harlem Apartment in New York,3467798,Laila,Manhattan,Harlem,40.80829,-73.9426,Entire home/apt,125,21,12,12/20/2018,0.15,2,267
Artist room for creative nomads,2777672,Kalae,Manhattan,Upper West Side,40.80114,-73.96378,Private room,95,2,211,6/21/2019,2.54,3,126
NEAR THE CITY THAT NEVER SLEEPS!,3375455,Maria,Staten Island,Mariners Harbor,40.62879,-74.16062,Private room,54,2,48,6/11/2019,0.59,1,232
"Warm, Comfortable, Inviting Home",3475005,Yolanda,Brooklyn,Flatlands,40.61676,-73.92552,Entire home/apt,89,2,219,6/12/2019,2.63,2,319
Central Park Chic Single Room,3392287,Roxanne,Manhattan,East Harlem,40.79417,-73.95101,Private room,92,3,218,6/23/2019,2.63,2,12
Midtown West- A COZY ONE bedroom.,3480879,Danny,Manhattan,Chelsea,40.75286,-74.00162,Entire home/apt,199,6,40,10/15/2017,0.5,1,0
Beautiful West Village 1 BR apartment,1397883,Jeff,Manhattan,West Village,40.73477,-74.00275,Entire home/apt,179,14,37,6/8/2019,0.46,1,284
Low Cost Room With GREAT Location,1229984,John,Queens,Long Island City,40.7453,-73.95294,Private room,65,20,28,5/20/2017,0.34,3,188
Spacious Private room in beautiful 1BR near Park,3447309,Mie,Manhattan,Harlem,40.80314,-73.95768,Private room,55,3,66,6/17/2019,0.8,2,13
Gorgeous NY Studio in Midtown East,3491890,George Steven,Manhattan,Murray Hill,40.74888,-73.97828,Entire home/apt,129,30,43,7/4/2019,0.67,6,256
Terrific NY Studio in Midtown East,3491890,George Steven,Manhattan,Murray Hill,40.74851,-73.97796,Entire home/apt,134,30,9,11/4/2018,0.11,6,313
Cozy Private Bedroom $800 Month,1360296,Maria Daniela,Brooklyn,East New York,40.67635,-73.89124,Private room,35,3,13,5/29/2019,0.16,1,2
duplex with backyard upper eastside,3502638,Daniel,Manhattan,Upper East Side,40.78002,-73.95211,Private room,250,1,60,5/16/2019,0.93,1,148
Huge Sunny Modern Apt. (1k+sqft),62855,Andrew,Brooklyn,Clinton Hill,40.69445,-73.96401,Entire home/apt,249,4,19,6/7/2019,0.23,1,362
Cozy 15 mins Manhattan& 10 Mins LGA,2446219,Biren,Queens,East Elmhurst,40.75772,-73.8953,Private room,62,1,296,6/29/2019,3.92,2,234
Large Room / Light / Columbia University - UWS,475916,Katherine,Manhattan,Upper West Side,40.80373,-73.9679,Private room,119,1,96,5/18/2017,1.16,1,0
Full 1BR Apartment in Park Slope,3540041,Peter,Brooklyn,South Slope,40.66481,-73.98367,Entire home/apt,179,2,77,6/24/2019,0.97,1,0
Lovely Garden Apt. in Fort Greene.,66329,Collin,Brooklyn,Fort Greene,40.68757,-73.97469,Entire home/apt,220,1,115,6/24/2019,1.4,2,96
Modern Lofted Williamsburg 3bd,743742,Ethan And Wray,Brooklyn,Williamsburg,40.7056,-73.94202,Entire home/apt,198,1,294,7/4/2019,3.59,1,233
Brooklyn's top,3530446,Maurice,Brooklyn,Crown Heights,40.67722,-73.95005,Entire home/apt,155,3,66,6/30/2019,1.75,3,309
Quirky Sunny Retreat Central Williamsburg,2172525,Slava,Brooklyn,Williamsburg,40.71407,-73.95336,Entire home/apt,199,7,4,8/10/2018,0.09,1,0
East Village Artist's Studio,284224,Daniel,Manhattan,East Village,40.72912,-73.98355,Entire home/apt,95,3,39,6/18/2019,0.47,1,15
"LEGAL PARK SLOPE 5 BR, ROOF TERRACES for 14 PEOPLE",570988,Yves,Brooklyn,Park Slope,40.68305,-73.97853,Entire home/apt,550,4,173,7/1/2019,2.12,1,258
Guestroom w/ 2 beds 20 mins to NYC ,3531317,Ingrid,Brooklyn,Bushwick,40.68161,-73.90796,Private room,60,2,295,6/16/2019,3.56,2,210
Stunning 3BR loft in Williamsburg!!!!,3538661,Phillip,Brooklyn,Williamsburg,40.71428,-73.961,Entire home/apt,380,4,62,1/2/2019,0.75,2,170
Bushwick Creative Den of Bliss,3541525,Lindsay,Brooklyn,Bushwick,40.70234,-73.91849,Private room,84,2,138,7/2/2019,1.69,1,225
UWS Charming 1 bedroom + loft,2817397,Larysa,Manhattan,Upper West Side,40.77563,-73.98065,Entire home/apt,165,30,27,6/24/2019,0.34,1,128
Roomy Updated Studio - East Village,1443121,Pavel,Manhattan,East Village,40.72866,-73.98048,Entire home/apt,105,30,96,6/16/2019,1.17,1,295
Private Suite in Historic House,3558158,Natalie,Brooklyn,Fort Greene,40.69096,-73.97241,Entire home/apt,134,2,119,1/25/2018,1.46,1,0
Sunny Elegant and Big Room!,2195782,Boris,Brooklyn,Bedford-Stuyvesant,40.69114,-73.94601,Private room,68,5,8,9/7/2018,0.1,1,281
The heart of the metropolis,3561489,John,Manhattan,East Village,40.72482,-73.98097,Entire home/apt,73,30,100,7/1/2019,1.25,1,3
Park Slope One bedroom with Balcony,3228992,Karin,Brooklyn,Park Slope,40.67406,-73.97697,Entire home/apt,150,5,1,7/16/2015,0.02,1,27
"Lovely, large studio near Central Park",1372779,Charlie,Manhattan,Upper West Side,40.77392,-73.97852,Entire home/apt,100,3,89,6/27/2019,1.12,1,0
Cute & Cozy NYC Room - Hell's Kitchen (dog in apt),3576466,Kevin,Manhattan,Hell's Kitchen,40.76422,-73.99382,Private room,75,2,176,6/21/2019,2.22,2,23
5th Ave Apartment in Midtown! ,3569392,Kristen,Manhattan,Midtown,40.76221,-73.97787,Private room,120,4,31,8/26/2016,0.38,1,0
"LARGE PRIVATE FLOOR IN BROOKLYN, NY",3577509,Eric,Brooklyn,Bedford-Stuyvesant,40.69128,-73.93653,Entire home/apt,85,4,239,6/26/2019,2.89,2,1
"Comfy apartment, adorable cat!",3577848,Abby,Manhattan,Inwood,40.86737,-73.91877,Entire home/apt,55,2,79,4/24/2019,0.96,1,3
GREAT private apt on MULBERRY st - Nolita / Soho,1746432,Joseph,Manhattan,Nolita,40.72177,-73.9961,Private room,95,10,13,4/15/2019,0.33,1,51
Clean Cute Private Room in CHELSEA,3579337,Nina,Manhattan,Chelsea,40.74034,-74.00259,Private room,72,14,11,12/8/2017,0.16,3,297
"SUNNY LOFT: Greenwich Village, NYC",3579116,Kristin,Manhattan,West Village,40.73105,-74.00285,Entire home/apt,250,80,5,5/3/2017,0.06,2,78
The Serenity Room in Historic BKLYN,2994135,Devin  & Justin,Brooklyn,Cobble Hill,40.68902,-73.99517,Private room,69,2,13,12/31/2016,0.37,1,0
